dataset_id,model_registry_entry,baseline_run_id,comparison_run_id,baseline_harness,comparison_harness,matched_rows,exact_label_accuracy_delta,monthly_rate_accuracy_delta,cost_delta_usd,total_token_delta,parse_validity_delta
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_epilepsy_verified,25,,,0.0,3000,0.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,clines_epilepsy_modular_n25_gold_seeded_2026_05_03,direct_evidence_contract_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,direct_evidence_contract,25,,,0.0,-10875,0.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,clines_epilepsy_modular_n25_gold_seeded_2026_05_03,direct_full_contract_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,direct_full_contract,25,,,0.0,-10875,0.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,clines_epilepsy_modular_n25_gold_seeded_2026_05_03,retrieval_field_extractors_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,retrieval_field_extractors,25,,,0.0,0,0.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,clines_epilepsy_verified_n25_gold_seeded_2026_05_03,direct_evidence_contract_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,direct_evidence_contract,25,,,0.0,-13875,0.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,clines_epilepsy_verified_n25_gold_seeded_2026_05_03,direct_full_contract_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,direct_full_contract,25,,,0.0,-13875,0.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,clines_epilepsy_verified_n25_gold_seeded_2026_05_03,retrieval_field_extractors_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,retrieval_field_extractors,25,,,0.0,-3000,0.0
synthetic_data_subset_1500,none,deterministic_n25_2026_05_03,exect_lite_n25_2026_05_03,deterministic_baseline,exect_lite_cleanroom_baseline,25,0.0,0.03999999999999998,0.0,0,0.0
synthetic_data_subset_1500,none,deterministic_n25_2026_05_03,exect_v2_external_pending_n25_2026_05_03,deterministic_baseline,exect_v2_external_baseline,25,-0.08000000000000002,-0.08000000000000002,0.0,0,-1.0
synthetic_data_subset_1500,openai_gpt_4_1_2025_04_14,direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_full_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_full_contract,25,,,0.0,0,0.0
